전철역코드,전철역명,전철명명(영문),호선,외부코드,전철명명(중문),전철명명(일문),,,,,,
3223,모래내시장,Moraenae Market,인천 2호선,1482,沙丘市?,モレネ市場,,,,,,
3224,만수,Mansu,인천 2호선,1483,万?,萬?,,,,,,
3225,남동구청,Namdong-gu Office,인천 2호선,1484,南洞??,南洞??,,,,,,
3226,인천대공원,Incheon Grand Park,인천 2호선,1485,仁川大公?,仁川大公園,,,,,,
3227,운연(서창),Unyeon,인천 2호선,1486,云宴,雲宴,,,,,,
4501,기흥,Giheung,수도권 에버라인,1490,器興,キフン,,,,,,
4502,강남대,Kangnam Univ.,수도권 에버라인,1491,江南大?,カンナムデ,,,,,,
4503,지석,Jiseok,수도권 에버라인,1492,支石,チソク,,,,,,
4504,어정,Eojeong,수도권 에버라인,1493,御井,オジョン,,,,,,
4505,동백,Dongbaek,수도권 에버라인,1494,東栢,トンベク,,,,,,
4506,초당,Chodang,수도권 에버라인,1495,草堂,チョダン,,,,,,
4508,삼가,Samga,수도권 에버라인,1496,三街,サムガ,,,,,,
4509,시청.용인대,"City Hall, Yongin Univ.",수도권 에버라인,1497,市廳 龍仁大,"シチョン, ヨンインデ",,,,,,
4510,명지대,Myongji Univ.,수도권 에버라인,1498,明知大,ミョンジデ,,,,,,
4511,김량장,Gimnyangjang,수도권 에버라인,1499,金良場,キムニャンジャン,,,,,,
4512,용인중앙시장,Yongin Jungang Market,수도권 에버라인,1500,?仁中央市?,ヨンインチュンアンシジャン,,,,,,
4513,고진,Gojin,수도권 에버라인,1501,古陣,コジン,,,,,,
4514,보평,Bopyeong,수도권 에버라인,1502,洑坪,ポピョン,,,,,,
4515,둔전,Dunjeon,수도권 에버라인,1503,屯田,トゥンジョン,,,,,,
4517,전대.에버랜드,Jeondae ? Everland,수도권 에버라인,1504,前垈?愛寶樂園,チョンデ·エバ?ランド,,,,,,
4601,발곡,Balgok,수도권 의정부경전철,1510,鉢谷,バルゴク,,,,,,
4602,회룡,Hoeryong,수도권 의정부경전철,1511,回龍,フェリョン,,,,,,
4603,범골,Beomgol,수도권 의정부경전철,1512,虎谷,ポムゴル,,,,,,
4604,경전철의정부,Lrt Uijeongbu,수도권 의정부경전철,1513,輕電鐵議政府,キョンジョンチョルウィジョンブ,,,,,,
4605,의정부시청,Uijeongbu City Hall,수도권 의정부경전철,1514,議政府市廳,ウィジョンブシチョン,,,,,,
4606,흥선,Heungseon,수도권 의정부경전철,1515,興宣,ホンソン,,,,,,
4607,의정부중앙,Uijeongbu Jung-ang,수도권 의정부경전철,1516,議政府中央,ウィジョンブチュンアン,,,,,,
4608,동오,Dong-o,수도권 의정부경전철,1517,東梧,トンオ,,,,,,
4609,새말,sae-mal,수도권 의정부경전철,1518,??,セマル,,,,,,
4610,경기도청북부청사,Gyeonggi Provincial Government Northern Office,수도권 의정부경전철,1519,京畿道廳北部廳舍,キョンギドチョンプップチョンサ,,,,,,
4611,효자,hyoja,수도권 의정부경전철,1520,孝子,ヒョジャ,,,,,,
4612,곤제,gonjae,수도권 의정부경전철,1521,昆弟,コンジェ,,,,,,
4613,어룡,eoryong,수도권 의정부경전철,1522,魚龍,オリョン,,,,,,
4614,송산,Songsan,수도권 의정부경전철,1523,松山,ソンサン,,,,,,
4615,탑석,Tapseok,수도권 의정부경전철,1524,塔石,タプソク,,,,,,
4920,양촌,Yangchon,수도권 김포골드라인,1530,?村,ヤンチョン,,,,,,
4921,구래,Gurae,수도권 김포골드라인,1531,九來,クレ,,,,,,
4922,마산,Masan,수도권 김포골드라인,1532,麻山,マサン,,,,,,
4923,장기,Janggi,수도권 김포골드라인,1533,?基,チャンギ,,,,,,
4924,운양,Unyang,수도권 김포골드라인,1534,云?,ウニャン,,,,,,
4925,걸포북변,Geolpo Bukbyeon,수도권 김포골드라인,1535,杰浦北?,コルポブクビョン,,,,,,
4926,사우(김포시청),Sau,수도권 김포골드라인,1536,沙隅,サウ,,,,,,
4927,풍무,Pungmu,수도권 김포골드라인,1537,_舞,プンム,,,,,,
4928,고촌,Gochon,수도권 김포골드라인,1538,高村,コチョン,,,,,,
4929,김포공항,Gimpo Int’l Airport,수도권 김포골드라인,1539,金浦机?,キンポ空港,,,,,,
4401,샛강,Saetgang,수도권 신림선,1540,?江,セッカン,,,,,,
4402,대방,Daebang,수도권 신림선,1541,大方,テバン,,,,,,
4403,서울지방병무청,Seoul Regional Office of Military Manpower,수도권 신림선,1542,首?地方兵??,ソウルジバンビョンムチョン,,,,,,
4404,보라매,Boramae,수도권 신림선,1543,波拉美,ポラメ,,,,,,
4405,보라매공원,Boramae Park,수도권 신림선,1544,波拉美公?,ポラメゴンウォン,,,,,,
4406,보라매병원,Boramae MedicalCenter,수도권 신림선,1545,波拉美?院,ポラメビョンウォン,,,,,,
4407,당곡,Danggok,수도권 신림선,1546,堂谷,タンゴク,,,,,,
4408,신림,Sillim,수도권 신림선,1547,新林,シンリム,,,,,,
4409,서원,Sutgogae,수도권 신림선,1548,炭?,スッコゲ,,,,,,
4410,서울대벤처타운,Seoul National Univ. Venture Town,수도권 신림선,1549,首?大??投城,ソウルデベンチャ?タウン,,,,,,
4411,관악산(서울대),Gwanaksan,수도권 신림선,1550,冠岳山,クァナクサン,,,,,,
1306,청량리,Cheongnyangni,수도권 경춘선,1600,淸凉里,チョンニャンニ,,,,,,
1307,회기,Hoegi,수도권 경춘선,1601,回基,フェギ,,,,,,
1308,중랑,Jungnang,수도권 경춘선,1602,中浪,チュンナン,,,,,,
1309,상봉,Sangbong,수도권 경춘선,1603,上鳳,サンボン,,,,,,
1310,망우,Mangu,수도권 경춘선,1604,忘憂,マンウ,,,,,,
1311,신내,Sinnae,수도권 경춘선,1605,新內,シンネ,,,,,,
1312,갈매,Galmae,수도권 경춘선,1606,葛梅,カルメ,,,,,,
1313,별내,Byeollae,수도권 경춘선,1607,別內,ピョルネ,,,,,,
1314,퇴계원,Toegyewon,수도권 경춘선,1608,退溪院,トェゲウォン,,,,,,
1315,사릉,Sareung,수도권 경춘선,1609,思陵,サルン,,,,,,
1316,금곡,Geumgok,수도권 경춘선,1610,金谷,クムゴク,,,,,,
1317,평내호평,Pyeongnae  Hopyeong,수도권 경춘선,1611,坪內好坪,ピョンネホピョン,,,,,,
1318,천마산,Cheonmasan,수도권 경춘선,1612,天摩山,チョンマサン,,,,,,
1319,마석,Maseok,수도권 경춘선,1613,磨石,マソク,,,,,,
1320,대성리,Daeseong-ri,수도권 경춘선,1614,大成里,テソンニ,,,,,,
1321,청평,Cheongpyeong,수도권 경춘선,1615,淸平,チョンピョン,,,,,,
1322,상천,Sangcheon,수도권 경춘선,1616,上泉,サンチョン,,,,,,
1323,가평,Gapyeong,수도권 경춘선,1617,加平,カピョン,,,,,,
1324,굴봉산,Gulbongsan,수도권 경춘선,1618,屈峰山,クルボンサン,,,,,,
1325,백양리,Baegyang-ri,수도권 경춘선,1619,白楊里,ペギャンニ,,,,,,
1326,강촌,Gangchon,수도권 경춘선,1620,江村,カンチョン,,,,,,
1327,김유정,Gimyujeong,수도권 경춘선,1621,金裕貞,キミュジョン,,,,,,
1328,남춘천,Namchuncheon,수도권 경춘선,1622,南春川,ナムチュンチョン,,,,,,
1329,춘천,Chuncheon,수도권 경춘선,1623,春川,チュンチョン,,,,,,
1305,광운대,Kwangwoon Univ.,수도권 경춘선,1624,光云大?,クァンウンデ,,,,,,
